dates,values
2017-01-01,5.797183089187594
2017-01-02,5.873935804993464
2017-01-03,5.9368221739462985
2017-01-04,5.997714918675864
2017-01-05,6.092132283621632
2017-01-06,6.105626188525303
2017-01-07,6.101975046228191
2017-01-08,6.080729504004395
2017-01-09,6.049549572398531
2017-01-10,6.059365688751804
2017-01-11,6.040263353127691
2017-01-12,6.022609604727775
2017-01-13,6.006153726532483
2017-01-14,5.929091550830473
2017-01-15,5.853258130763036
2017-01-16,5.771399205551533
2017-01-17,5.6802708360968275
2017-01-18,5.572876745799839
2017-01-19,5.464121274198504
2017-01-20,5.366696516211194
2017-01-21,5.332951458808701
2017-01-22,5.283546277229559
2017-01-23,5.243225651231604
2017-01-24,5.171668349220212
2017-01-25,5.117384480902719
2017-01-26,5.0664071703795885
2017-01-27,5.002220585385636
2017-01-28,4.94352555095566
2017-01-29,4.8143911459590525
2017-01-30,4.708485006669529
2017-01-31,4.625474660517655
2017-02-01,4.501587750628774
2017-02-02,4.395206823553392
2017-02-03,4.321329480715955
2017-02-04,4.2481164774207185
2017-02-05,4.265477117034467
2017-02-06,4.280614005692005
2017-02-07,4.285667709866726
2017-02-08,4.27579527302355
2017-02-09,4.2558233005875845
2017-02-10,4.243124544105891
2017-02-11,4.234730974320194
2017-02-12,4.236323087954148
2017-02-13,4.224112442384956
2017-02-14,4.204050236045811
2017-02-15,4.199322948473866
2017-02-16,4.1890423394780525
2017-02-17,4.177077566155108
2017-02-18,4.173509996197854
2017-02-19,4.175323152614765
2017-02-20,4.171236586315063
2017-02-21,4.166715201609435
2017-02-22,4.162687378186297
2017-02-23,4.1487392757834
2017-02-24,4.151452348845443
2017-02-25,4.174256696886582
2017-02-26,4.0698708070933565
2017-02-27,4.215240653098963
2017-02-28,4.2902940646610634
2017-03-01,4.2655421177432435
2017-03-02,4.2910643836197515
2017-03-03,4.297604222011939
2017-03-04,4.506050392457834
2017-03-05,4.52460587429288
2017-03-06,4.505991649581268
2017-03-07,4.538690841542212
2017-03-08,4.547407194350692
2017-03-09,4.599084574619293
2017-03-10,4.645616805616664
2017-03-11,4.67488347567679
2017-03-12,4.69921634970199
2017-03-13,4.773053723159497
2017-03-14,4.838720992000926
