;Q_in;Q_out_constr;Q out(m^3/s);ht(m);prezzo (eur/MWh);energy (MWh);ricavo (eur);Q_in_real
2021-11-01 10:00:00;0.62;1.0158377279500208;0.0;1673.99;170.0;0.0;0.0;2021-11-01 10:00:00
2021-11-01 11:00:00;0.51;1.0158377279500208;13.7;1673.95;183.13;113.08;20707.45;2021-11-01 11:00:00
2021-11-01 12:00:00;0.53;1.0158377279500208;13.7;1673.91;173.8;113.08;19652.46;2021-11-01 12:00:00
2021-11-01 13:00:00;0.57;1.0158377279500208;13.69;1673.87;163.08;113.02;18431.21;2021-11-01 13:00:00
2021-11-01 14:00:00;0.69;1.0158377279500208;13.7;1673.83;161.8;113.08;18295.55;2021-11-01 14:00:00
2021-11-01 15:00:00;0.95;1.0158377279500208;0.0;1673.83;160.4;0.0;0.0;2021-11-01 15:00:00
2021-11-01 16:00:00;1.2;1.0158377279500208;13.7;1673.79;164.07;113.08;18552.23;2021-11-01 16:00:00
2021-11-01 17:00:00;1.54;1.0158377279500208;0.0;1673.8;166.11;0.0;0.0;2021-11-01 17:00:00
2021-11-01 18:00:00;1.79;1.0158377279500208;13.7;1673.76;183.0;113.08;20692.75;2021-11-01 18:00:00
2021-11-01 19:00:00;1.69;1.0158377279500208;0.0;1673.77;179.9;0.0;0.0;2021-11-01 19:00:00
2021-11-01 20:00:00;1.82;1.0158377279500208;0.0;1673.77;163.08;0.0;0.0;2021-11-01 20:00:00
2021-11-01 21:00:00;1.65;1.0158377279500208;0.0;1673.78;153.0;0.0;0.0;2021-11-01 21:00:00
2021-11-01 22:00:00;1.51;1.0158377279500208;0.02;1673.78;147.37;0.15;22.12;2021-11-01 22:00:00
2021-11-01 23:00:00;1.28;1.0158377279500208;0.0;1673.79;134.9;0.0;0.0;2021-11-01 23:00:00
2021-11-02 00:00:00;1.39;1.0158377279500208;0.0;1673.79;145.0;0.0;0.0;2021-11-02 00:00:00
2021-11-02 01:00:00;1.34;1.0158377279500208;13.7;1673.75;140.94;113.08;15936.81;2021-11-02 01:00:00
2021-11-02 02:00:00;1.35;1.0158377279500208;0.0;1673.76;130.0;0.0;0.0;2021-11-02 02:00:00
2021-11-02 03:00:00;1.34;1.0158377279500208;0.0;1673.76;119.0;0.0;0.0;2021-11-02 03:00:00
2021-11-02 04:00:00;1.31;1.0158377279500208;0.0;1673.76;123.51;0.0;0.0;2021-11-02 04:00:00
2021-11-02 05:00:00;1.01;1.0158377279500208;0.0;1673.77;146.77;0.02;2.97;2021-11-02 05:00:00
2021-11-02 06:00:00;1.21;1.0158377279500208;13.7;1673.73;182.15;113.08;20596.63;2021-11-02 06:00:00
2021-11-02 07:00:00;1.03;1.0158377279500208;0.0;1673.73;216.83;0.0;0.0;2021-11-02 07:00:00
2021-11-02 08:00:00;0.61;1.0158377279500208;13.7;1673.69;234.98;113.08;26570.2;2021-11-02 08:00:00
2021-11-02 09:00:00;0.66;1.0158377279500208;13.7;1673.65;228.04;113.08;25785.65;2021-11-02 09:00:00
2021-11-02 10:00:00;0.84;1.0158377279500208;13.7;1673.61;221.74;113.08;25073.28;2021-11-02 10:00:00
2021-11-02 11:00:00;0.76;1.0158377279500208;13.7;1673.57;223.21;113.08;25239.65;2021-11-02 11:00:00
2021-11-02 12:00:00;0.89;1.0158377279500208;13.7;1673.53;215.95;113.08;24418.49;2021-11-02 12:00:00
2021-11-02 13:00:00;0.85;1.0158377279500208;0.0;1673.53;217.35;0.0;0.0;2021-11-02 13:00:00
2021-11-02 14:00:00;0.83;1.0158377279500208;13.7;1673.49;224.91;113.08;25431.63;2021-11-02 14:00:00
2021-11-02 15:00:00;0.82;1.0158377279500208;13.7;1673.45;231.15;113.08;26137.31;2021-11-02 15:00:00
2021-11-02 16:00:00;0.88;1.0158377279500208;13.7;1673.41;252.12;113.08;28508.5;2021-11-02 16:00:00
2021-11-02 17:00:00;0.8;1.0158377279500208;13.7;1673.37;298.97;113.08;33805.67;2021-11-02 17:00:00
2021-11-02 18:00:00;0.88;1.0158377279500208;13.7;1673.33;312.67;113.08;35355.2;2021-11-02 18:00:00
2021-11-02 19:00:00;0.89;1.0158377279500208;0.0;1673.33;280.0;0.0;0.0;2021-11-02 19:00:00
2021-11-02 20:00:00;0.9;1.0158377279500208;13.7;1673.29;231.0;113.08;26120.35;2021-11-02 20:00:00
2021-11-02 21:00:00;0.89;1.0158377279500208;0.0;1673.29;201.0;0.0;0.0;2021-11-02 21:00:00
2021-11-02 22:00:00;0.91;1.0158377279500208;0.0;1673.29;179.99;0.0;0.0;2021-11-02 22:00:00
2021-11-02 23:00:00;0.86;1.0158377279500208;13.7;1673.25;167.0;113.08;18883.54;2021-11-02 23:00:00
2021-11-03 00:00:00;0.88;1.0158377279500208;0.0;1673.26;161.0;0.0;0.0;2021-11-03 00:00:00
2021-11-03 01:00:00;0.89;1.0158377279500208;13.7;1673.22;158.22;113.08;17890.74;2021-11-03 01:00:00
2021-11-03 02:00:00;0.94;1.0158377279500208;0.66;1673.22;155.19;5.42;841.88;2021-11-03 02:00:00
2021-11-03 03:00:00;0.94;1.0158377279500208;0.0;1673.22;157.86;0.0;0.0;2021-11-03 03:00:00
2021-11-03 04:00:00;0.91;1.0158377279500208;0.0;1673.22;159.4;0.0;0.0;2021-11-03 04:00:00
2021-11-03 05:00:00;0.92;1.0158377279500208;0.45;1673.22;162.53;3.72;603.86;2021-11-03 05:00:00
2021-11-03 06:00:00;0.89;1.0158377279500208;0.0;1673.23;179.19;0.0;0.0;2021-11-03 06:00:00
2021-11-03 07:00:00;0.88;1.0158377279500208;12.47;1673.19;204.37;102.96;21041.9;2021-11-03 07:00:00
2021-11-03 08:00:00;0.96;1.0158377279500208;13.7;1673.15;230.09;113.08;26017.22;2021-11-03 08:00:00
2021-11-03 09:00:00;0.92;1.0158377279500208;13.7;1673.11;219.09;113.08;24773.54;2021-11-03 09:00:00
