;Q_in;Q_out_constr;Q out(m^3/s);ht(m);prezzo (eur/MWh);energy (MWh);ricavo (eur);Q_in_real
2021-11-01 10:00:00;0.62;1.0489397589279918;0.0;1673.99;170.0;0.0;0.0;0.6733926307652666
2021-11-01 11:00:00;0.51;1.0489397589279918;13.7;1673.95;183.13;113.08;20707.45;0.6746906467405307
2021-11-01 12:00:00;0.53;1.0489397589279918;0.0;1673.95;173.8;0.0;0.0;0.6746906467405307
2021-11-01 13:00:00;0.57;1.0489397589279918;0.0;1673.96;163.08;0.0;0.0;0.6864454522030403
2021-11-01 14:00:00;0.69;1.0489397589279918;0.0;1673.96;161.8;0.0;0.0;0.7224247358928111
2021-11-01 15:00:00;0.95;1.0489397589279918;0.0;1673.96;160.4;0.0;0.0;0.7652889461478999
2021-11-01 16:00:00;1.2;1.0489397589279918;0.0;1673.97;164.07;0.0;0.0;0.7823975264107188
2021-11-01 17:00:00;1.54;1.0489397589279918;0.0;1673.97;166.11;0.0;0.0;0.7809541870651893
2021-11-01 18:00:00;1.79;1.0489397589279918;0.0;1673.98;183.0;0.0;0.0;0.7709219273383147
2021-11-01 19:00:00;1.69;1.0489397589279918;13.7;1673.94;179.9;113.08;20342.21;0.7387498067508372
2021-11-01 20:00:00;1.82;1.0489397589279918;0.0;1673.94;163.08;0.0;0.0;0.7115826848750321
2021-11-01 21:00:00;1.65;1.0489397589279918;13.7;1673.91;153.0;113.08;17300.49;0.7049036846173665
2021-11-01 22:00:00;1.51;1.0489397589279918;0.0;1673.91;147.37;0.0;0.0;0.7075671218758051
2021-11-01 23:00:00;1.28;1.0489397589279918;13.7;1673.87;134.9;113.08;15253.83;0.7142563256892553
2021-11-02 00:00:00;1.1;1.0489397589279918;0.0;1673.88;145.0;0.0;0.0;0.7169401700592631
2021-11-02 01:00:00;0.94;1.0489397589279918;0.0;1673.88;140.94;0.0;0.0;0.7102305591342437
2021-11-02 02:00:00;0.95;1.0489397589279918;0.0;1673.88;130.0;0.0;0.0;0.7155982478742591
2021-11-02 03:00:00;0.94;1.0489397589279918;0.0;1673.88;119.0;0.0;0.0;0.7196444215408399
2021-11-02 04:00:00;0.89;1.0489397589279918;0.0;1673.89;123.51;0.0;0.0;0.7169401700592631
2021-11-02 05:00:00;0.76;1.0489397589279918;0.0;1673.89;146.77;0.0;0.0;0.7049036846173665
2021-11-02 06:00:00;1.01;1.0489397589279918;0.0;1673.89;182.15;0.0;0.0;0.6982729193506828
2021-11-02 07:00:00;0.82;1.0489397589279918;13.7;1673.85;216.83;113.08;24517.87;0.7009178046895129
2021-11-02 08:00:00;0.66;1.0489397589279918;13.7;1673.81;234.98;113.08;26570.2;0.6969504766812676
2021-11-02 09:00:00;0.72;1.0489397589279918;13.7;1673.77;228.04;113.08;25785.65;0.702240247358928
