;Q_in;Q_out_constr;Q out(m^3/s);ht(m);prezzo (eur/MWh);energy (MWh);ricavo (eur);Q_in_real
2021-11-01 00:00:00;0.7;0.9682044287094113;13.06;1687.02;165.92;107.8;17886.72;0.6707965988147384
2021-11-01 01:00:00;0.74;0.9682044287094113;13.49;1686.97;162.53;111.35;18098.32;0.6720946147900024
2021-11-01 02:00:00;0.77;0.9682044287094113;12.5;1686.93;151.56;103.19;15638.85;0.6720946147900024
2021-11-01 03:00:00;0.75;0.9682044287094113;12.52;1686.89;140.97;103.33;14566.06;0.6707965988147384
2021-11-01 04:00:00;0.73;0.9682044287094113;13.65;1686.85;140.5;112.7;15834.08;0.6707965988147384
2021-11-01 05:00:00;0.73;0.9682044287094113;9.41;1686.82;147.49;77.7;11459.58;0.6721029631538263
2021-11-01 06:00:00;0.68;0.9682044287094113;12.13;1686.78;163.08;100.15;16333.14;0.6720946147900024
2021-11-01 07:00:00;0.62;0.9682044287094113;11.78;1686.74;163.08;97.2;15851.2;0.6720946147900024
2021-11-01 08:00:00;0.52;0.9682044287094113;12.95;1686.7;162.69;106.9;17391.02;0.665637928368977
2021-11-01 09:00:00;0.63;0.9682044287094113;12.76;1686.65;170.0;105.35;17909.37;0.6695236279309454
2021-11-01 10:00:00;0.62;0.9682044287094113;11.9;1686.62;170.0;98.19;16693.08;0.6733926307652666
2021-11-01 11:00:00;0.51;0.9682044287094113;12.55;1686.57;183.13;103.61;18973.22;0.6746906467405307
2021-11-01 12:00:00;0.53;0.9682044287094113;9.77;1686.54;173.8;80.64;14014.96;0.6746906467405307
2021-11-01 13:00:00;0.57;0.9682044287094113;10.14;1686.51;163.08;83.68;13646.3;0.6864454522030403
2021-11-01 14:00:00;0.69;0.9682044287094113;11.39;1686.47;161.8;93.98;15205.61;0.7224247358928111
2021-11-01 15:00:00;0.95;0.9682044287094113;13.26;1686.43;160.4;109.42;17550.32;0.7652889461478999
2021-11-01 16:00:00;1.2;0.9682044287094113;13.64;1686.39;164.07;112.62;18477.32;0.7823975264107188
2021-11-01 17:00:00;1.54;0.9682044287094113;11.97;1686.35;166.11;98.79;16410.63;0.7809541870651893
2021-11-01 18:00:00;1.79;0.9682044287094113;8.47;1686.32;183.0;69.91;12793.14;0.7709219273383147
2021-11-01 19:00:00;1.69;0.9682044287094113;11.49;1686.29;179.9;94.84;17062.52;0.7387498067508372
2021-11-01 20:00:00;1.82;0.9682044287094113;12.5;1686.25;163.08;103.17;16825.19;0.7115826848750321
2021-11-01 21:00:00;1.65;0.9682044287094113;13.62;1686.2;153.0;112.42;17200.54;0.7049036846173665
2021-11-01 22:00:00;1.51;0.9682044287094113;13.48;1686.16;147.37;111.27;16397.23;0.7075671218758051
2021-11-01 23:00:00;1.28;0.9682044287094113;12.9;1686.12;134.9;106.5;14366.19;0.7142563256892553
