;Q_in;Q_out_constr;Q out(m^3/s);ht(m);prezzo (eur/MWh);energy (MWh);ricavo (eur);Q_in_real
2021-11-01 00:00:00;0.7;0.9682044287094113;11.09;1687.02;165.92;91.51;15183.16;0.6707965988147384
2021-11-01 01:00:00;0.74;0.9682044287094113;12.21;1686.98;162.53;100.77;16378.4;0.6720946147900024
2021-11-01 02:00:00;0.77;0.9682044287094113;13.51;1686.94;151.56;111.5;16898.65;0.6720946147900024
2021-11-01 03:00:00;0.75;0.9682044287094113;9.72;1686.9;140.97;80.21;11307.41;0.6707965988147384
2021-11-01 04:00:00;0.73;0.9682044287094113;9.35;1686.87;140.5;77.18;10844.23;0.6707965988147384
2021-11-01 05:00:00;0.73;0.9682044287094113;12.33;1686.82;147.49;101.75;15006.87;0.6721029631538263
2021-11-01 06:00:00;0.68;0.9682044287094113;13.57;1686.78;163.08;112.01;18266.29;0.6720946147900024
2021-11-01 07:00:00;0.62;0.9682044287094113;10.15;1686.75;163.08;83.77;13661.33;0.6720946147900024
2021-11-01 08:00:00;0.52;0.9682044287094113;6.24;1686.71;162.69;51.47;8373.64;0.665637928368977
2021-11-01 09:00:00;0.63;0.9682044287094113;4.62;1686.67;170.0;38.12;6480.05;0.6695236279309454
2021-11-01 10:00:00;0.62;0.9682044287094113;13.39;1686.63;170.0;110.49;18783.76;0.6733926307652666
2021-11-01 11:00:00;0.51;0.9682044287094113;12.68;1686.59;183.13;104.62;19159.57;0.6746906467405307
2021-11-01 12:00:00;0.53;0.9682044287094113;10.93;1686.55;173.8;90.23;15681.94;0.6746906467405307
2021-11-01 13:00:00;0.57;0.9682044287094113;13.52;1686.52;163.08;111.61;18201.65;0.6864454522030403
2021-11-01 14:00:00;0.69;0.9682044287094113;12.93;1686.47;161.8;106.75;17272.1;0.7224247358928111
2021-11-01 15:00:00;0.95;0.9682044287094113;11.57;1686.43;160.4;95.48;15315.72;0.7652889461478999
2021-11-01 16:00:00;1.2;0.9682044287094113;12.82;1686.4;164.07;105.82;17361.76;0.7823975264107188
2021-11-01 17:00:00;1.54;0.9682044287094113;11.87;1686.4;166.11;97.96;16272.03;0.7809541870651893
2021-11-01 18:00:00;1.79;0.9682044287094113;13.2;1686.38;183.0;108.99;19944.69;0.7709219273383147
2021-11-01 19:00:00;1.69;0.9682044287094113;12.34;1686.33;179.9;101.83;18319.19;0.7387498067508372
2021-11-01 20:00:00;1.82;0.9682044287094113;11.4;1686.29;163.08;94.09;15343.97;0.7115826848750321
2021-11-01 21:00:00;1.65;0.9682044287094113;11.01;1686.26;153.0;90.91;13909.5;0.7049036846173665
2021-11-01 22:00:00;1.51;0.9682044287094113;13.52;1686.21;147.37;111.55;16439.24;0.7075671218758051
2021-11-01 23:00:00;1.28;0.9682044287094113;0.99;1686.17;134.9;8.18;1103.18;0.7142563256892553
2021-11-02 00:00:00;1.1;0.9384480160221375;13.1;1686.17;145.0;108.08;15672.08;0.7169401700592631
2021-11-02 01:00:00;0.94;0.9384480160221375;12.22;1686.13;140.94;100.88;14217.98;0.7102305591342437
2021-11-02 02:00:00;0.95;0.9384480160221375;12.76;1686.09;130.0;105.32;13691.69;0.7155982478742591
2021-11-02 03:00:00;0.94;0.9384480160221375;13.19;1686.04;119.0;108.88;12957.15;0.7196444215408399
2021-11-02 04:00:00;0.89;0.9384480160221375;13.25;1686.0;123.51;109.35;13506.23;0.7169401700592631
2021-11-02 05:00:00;0.76;0.9384480160221375;13.65;1685.96;146.77;112.63;16530.34;0.7049036846173665
2021-11-02 06:00:00;1.01;0.9384480160221375;12.34;1685.92;182.15;101.88;18557.0;0.6982729193506828
2021-11-02 07:00:00;0.82;0.9384480160221375;11.52;1685.88;216.83;95.06;20612.25;0.7009178046895129
2021-11-02 08:00:00;0.66;0.9384480160221375;9.43;1685.85;234.98;77.87;18296.86;0.6969504766812676
2021-11-02 09:00:00;0.72;0.9384480160221375;9.87;1685.82;228.04;81.48;18580.73;0.702240247358928
2021-11-02 10:00:00;0.73;0.9384480160221375;10.14;1685.79;221.74;83.71;18562.21;0.702240247358928
2021-11-02 11:00:00;0.91;0.9384480160221375;13.28;1685.75;223.21;109.61;24466.44;0.7129246070600359
2021-11-02 12:00:00;0.68;0.9384480160221375;9.78;1685.72;215.95;80.73;17433.74;0.7332231898995104
2021-11-02 13:00:00;0.71;0.9384480160221375;8.22;1685.69;217.35;67.87;14751.12;0.7359497036846172
2021-11-02 14:00:00;0.84;0.9384480160221375;9.13;1685.66;224.91;75.37;16951.77;0.7359497036846172
2021-11-02 15:00:00;1.12;0.9384480160221375;5.42;1685.65;231.15;44.75;10342.82;0.7291658850811644
2021-11-02 16:00:00;1.17;0.9384480160221375;12.3;1685.61;252.12;101.53;25596.69;0.7009447049729449
2021-11-02 17:00:00;1.09;0.9384480160221375;13.55;1685.57;298.97;111.85;33440.4;0.6579923730997165
2021-11-02 18:00:00;1.14;0.9384480160221375;8.6;1685.54;312.67;70.98;22192.63;0.6326186034527183
2021-11-02 19:00:00;1.11;0.9384480160221375;13.1;1685.5;280.0;108.16;30284.96;0.625151455810358
2021-11-02 20:00:00;1.06;0.9384480160221375;11.76;1685.46;231.0;97.05;22418.45;0.6239053852099973
2021-11-02 21:00:00;1.07;0.9384480160221375;12.61;1685.42;201.0;104.06;20915.53;0.6164942025251223
2021-11-02 22:00:00;1.05;0.9384480160221375;12.61;1685.38;179.99;104.1;18736.84;0.6128125740788456
2021-11-02 23:00:00;1.04;0.9384480160221375;13.43;1685.34;167.0;110.82;18506.93;0.6115853645967534
2021-11-03 00:00:00;0.88;1.0024705013483357;11.37;1685.3;161.0;93.82;15105.09;0.6103581551146612
2021-11-03 01:00:00;0.89;1.0024705013483357;11.94;1685.27;158.22;98.57;15595.19;0.6079229064674053
2021-11-03 02:00:00;0.94;1.0024705013483357;13.25;1685.22;155.19;109.4;16977.62;0.6042700334965213
2021-11-03 03:00:00;0.94;1.0024705013483357;13.09;1685.18;157.86;108.08;17061.07;0.609140530791033
2021-11-03 04:00:00;0.91;1.0024705013483357;12.39;1685.14;159.4;102.29;16304.62;0.6054876578201495
2021-11-03 05:00:00;0.92;1.0024705013483357;12.85;1685.1;162.53;106.06;17237.61;0.6030524091728936
2021-11-03 06:00:00;0.89;1.0024705013483357;8.1;1685.08;179.19;66.85;11978.42;0.6042700334965213
2021-11-03 07:00:00;0.88;1.0024705013483357;9.46;1685.05;204.37;78.04;15949.82;0.6030524091728936
2021-11-03 08:00:00;0.96;1.0024705013483357;13.19;1685.01;230.09;108.84;25043.89;0.5994282916774027
2021-11-03 09:00:00;0.92;1.0024705013483357;12.03;1684.97;219.09;99.3;21755.6;0.6079229064674053
2021-11-03 10:00:00;0.85;1.0024705013483357;11.38;1684.93;210.2;93.91;19740.55;0.6152669930430301
2021-11-03 11:00:00;0.96;1.0024705013483357;13.41;1684.89;213.26;110.69;23605.37;0.6201950012883276
