dates,values
2017-08-02 00:00,14.758
2017-08-03 00:00,14.720
2017-08-04 00:00,14.638
2017-08-05 00:00,14.695
2017-08-06 00:00,14.828
2017-08-07 00:00,14.668
2017-08-08 00:00,14.433
2017-08-09 00:00,14.494
2017-08-10 00:00,14.505
2017-08-11 00:00,14.429
2017-08-12 00:00,14.489
2017-08-13 00:00,14.680
2017-08-14 00:00,14.809
2017-08-15 00:00,14.895
2017-08-16 00:00,14.845
2017-08-17 00:00,14.600
2017-08-18 00:00,14.723
2017-08-19 00:00,14.935
2017-08-20 00:00,14.806
2017-08-21 00:00,14.848
2017-08-22 00:00,14.943
2017-08-23 00:00,15.031
2017-08-24 00:00,15.195
2017-08-25 00:00,15.115
2017-08-26 00:00,15.052
2017-08-27 00:00,14.962
2017-08-28 00:00,14.906
2017-08-29 00:00,14.590
2017-08-30 00:00,14.295
2017-08-31 00:00,13.945
2017-09-01 00:00,10.522
2017-09-02 00:00,10.310
2017-09-03 00:00,10.061
2017-09-04 00:00,9.788
2017-09-05 00:00,9.881
2017-09-06 00:00,9.924
2017-09-07 00:00,9.970
2017-09-08 00:00,9.996
2017-09-09 00:00,9.937
2017-09-10 00:00,10.142
2017-09-11 00:00,10.374
2017-09-12 00:00,10.493
2017-09-13 00:00,10.535
2017-09-14 00:00,10.751
2017-09-15 00:00,10.893
2017-09-16 00:00,11.118
2017-09-17 00:00,11.084
2017-09-18 00:00,10.969
2017-09-19 00:00,10.880
2017-09-20 00:00,10.936
2017-09-21 00:00,10.902
2017-09-22 00:00,11.065
2017-09-23 00:00,11.155
2017-09-24 00:00,11.181
2017-09-25 00:00,11.061
2017-09-26 00:00,11.082
2017-09-27 00:00,11.056
2017-09-28 00:00,10.970
2017-09-29 00:00,10.869
2017-09-30 00:00,10.687
2017-10-01 00:00,10.618
2017-10-02 00:00,10.663
2017-10-03 00:00,10.828
2017-10-04 00:00,11.084
2017-10-05 00:00,11.375
2017-10-06 00:00,11.654
2017-10-07 00:00,11.942
2017-10-08 00:00,12.125
2017-10-09 00:00,12.312
2017-10-10 00:00,12.338
2017-10-11 00:00,12.171
2017-10-12 00:00,11.969
2017-10-13 00:00,11.776
2017-10-14 00:00,11.645
2017-10-15 00:00,11.597
2017-10-16 00:00,11.674
2017-10-17 00:00,11.629
2017-10-18 00:00,11.559
2017-10-19 00:00,11.407
2017-10-20 00:00,11.153
2017-10-21 00:00,10.995
2017-10-22 00:00,10.796
2017-10-23 00:00,10.576
2017-10-24 00:00,10.393
2017-10-25 00:00,10.253
2017-10-26 00:00,10.101
2017-10-27 00:00,10.068
2017-10-28 00:00,9.926
2017-10-29 00:00,9.935
2017-10-30 00:00,9.860
2017-10-31 00:00,9.844
2017-11-01 00:00,9.889
2017-11-02 00:00,9.950
2017-11-03 00:00,10.012
2017-11-04 00:00,10.183
2017-11-05 00:00,10.235
2017-11-06 00:00,10.240
2017-11-07 00:00,10.169
2017-11-08 00:00,10.071
2017-11-09 00:00,9.980
2017-11-10 00:00,9.902
2017-11-11 00:00,9.799
2017-11-12 00:00,9.723
2017-11-13 00:00,9.772
2017-11-14 00:00,9.869
2017-11-15 00:00,9.962
2017-11-16 00:00,10.085
2017-11-17 00:00,10.050
2017-11-18 00:00,10.000
2017-11-19 00:00,10.001
2017-11-20 00:00,10.017
2017-11-21 00:00,9.995
2017-11-22 00:00,9.995
2017-11-23 00:00,9.910
2017-11-24 00:00,9.759
2017-11-25 00:00,9.639
2017-11-26 00:00,9.461
2017-11-27 00:00,9.279
2017-11-28 00:00,8.931
2017-11-29 00:00,8.617
2017-11-30 00:00,8.341
2017-12-01 00:00,8.066
2017-12-02 00:00,7.797
2017-12-03 00:00,7.617
2017-12-04 00:00,7.351
2017-12-05 00:00,7.234
2017-12-06 00:00,7.103
2017-12-07 00:00,7.045
2017-12-08 00:00,6.997
2017-12-09 00:00,6.965
2017-12-10 00:00,6.849
2017-12-11 00:00,6.767
2017-12-12 00:00,6.657
2017-12-13 00:00,6.540
2017-12-14 00:00,6.477
2017-12-15 00:00,6.432
2017-12-16 00:00,6.313
2017-12-17 00:00,6.274
2017-12-18 00:00,6.143
2017-12-19 00:00,6.099
2017-12-20 00:00,6.051
2017-12-21 00:00,5.982
2017-12-22 00:00,5.915
2017-12-23 00:00,5.856
2017-12-24 00:00,5.770
2017-12-25 00:00,5.755
2017-12-26 00:00,5.703
2017-12-27 00:00,5.637
2017-12-28 00:00,5.629
2017-12-29 00:00,5.628
2017-12-30 00:00,5.685
2017-12-31 00:00,5.734
2018-01-01 00:00,4.789
2018-01-02 00:00,4.853
2018-01-03 00:00,4.905
2018-01-04 00:00,4.955
