0;Q_in;Q out(m^3/s);ht(m);prezzo (eur/MWh);energy (MWh);ricavo (eur)
2019-08-12 08:00:00;2.53;3.28;2.79;44.0;3.01;132.28
2019-08-12 09:00:00;2.5;3.19;2.77;45.51;2.96;134.69
2019-08-12 10:00:00;2.48;3.3;2.76;46.0;3.02;138.79
2019-08-12 11:00:00;2.55;3.33;2.74;48.0;3.03;145.55
2019-08-12 12:00:00;2.55;3.54;2.71;47.0;3.13;146.96
2019-08-12 13:00:00;2.55;3.24;2.68;45.0;2.99;134.37
2019-08-12 14:00:00;2.55;3.37;2.65;45.0;3.05;137.26
2019-08-12 15:00:00;2.55;3.6;2.6;46.5;3.15;146.39
2019-08-12 16:00:00;2.55;3.47;2.56;50.0;3.09;154.7
2019-08-12 17:00:00;2.62;3.62;2.5;57.44;3.15;181.02
2019-08-12 18:00:00;3.92;3.28;2.54;60.6;3.0;181.93
2019-08-12 19:00:00;5.72;3.57;2.64;62.31;3.14;195.62
2019-08-12 20:00:00;5.32;3.52;2.71;65.0;3.12;202.63
2019-08-12 21:00:00;4.45;3.27;2.74;58.31;3.0;175.12
2019-08-12 22:00:00;4.16;3.75;2.75;58.31;3.19;185.84
2019-08-12 23:00:00;4.52;3.79;2.77;60.6;3.19;193.61
2019-08-13 00:00:00;4.39;3.66;2.79;50.0;3.17;158.43
2019-08-13 01:00:00;3.94;3.21;2.8;45.23;2.97;134.53
2019-08-13 02:00:00;3.7;3.21;2.8;44.0;2.97;130.83
2019-08-13 03:00:00;3.56;3.62;2.8;40.98;3.16;129.57
2019-08-13 04:00:00;3.41;3.22;2.81;38.99;2.98;116.01
2019-08-13 05:00:00;3.3;3.38;2.81;38.08;3.06;116.34
2019-08-13 06:00:00;3.25;3.28;2.8;35.9;3.01;108.04
2019-08-13 07:00:00;3.06;3.37;2.8;38.55;3.05;117.7
